match_id,season,date,kickoff_time,home_team_id,away_team_id,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_history_matches,away_history_matches,home_home_goals_scored_avg,home_home_goals_conceded_avg,home_home_matches,away_away_goals_scored_avg,away_away_goals_conceded_avg,away_away_matches,home_recent5_scored,home_recent5_conceded,home_recent5_matches,away_recent5_scored,away_recent5_conceded,away_recent5_matches,home_recent10_scored,home_recent10_conceded,home_recent10_matches,away_recent10_scored,away_recent10_conceded,away_recent10_matches,league_matches_before,league_goals_avg,target_total_goals,target_over25
2015_16_20151004_EVE_LIV,2015_16,2015-10-04,,EVE,LIV,1.5714285714285714,1.0,1.0,1.2857142857142858,7,7,1.6666666666666667,1.6666666666666667,3,0.6666666666666666,1.0,3,1.2,1.0,5,1.0,1.8,5,1.5714285714285714,1.0,7,1.0,1.2857142857142858,7,78,2.730769230769231,2,0
2015_16_20151004_SWA_TOT,2015_16,2015-10-04,,SWA,TOT,1.1428571428571428,1.1428571428571428,1.2857142857142858,0.7142857142857143,7,7,1.3333333333333333,0.3333333333333333,3,0.6666666666666666,0.6666666666666666,3,0.8,1.2,5,1.4,0.4,5,1.1428571428571428,1.1428571428571428,7,1.2857142857142858,0.7142857142857143,7,79,2.721518987341772,4,1
2015_16_20151017_CHE_AVL,2015_16,2015-10-17,,CHE,AVL,1.5,2.125,1.0,1.625,8,8,1.5,1.75,4,1.5,2.0,4,1.4,2.0,5,1.2,2.0,5,1.5,2.125,8,1.0,1.625,8,80,2.7375,2,0
2015_16_20151017_CRY_WHU,2015_16,2015-10-17,,CRY,WHU,1.375,0.875,2.125,1.375,8,8,1.25,1.0,4,2.25,0.75,4,1.0,0.6,5,2.2,1.0,5,1.375,0.875,8,2.125,1.375,8,81,2.728395061728395,4,1
2015_16_20151017_EVE_MUN,2015_16,2015-10-17,,EVE,MUN,1.5,1.0,1.5,1.0,8,8,1.5,1.5,4,1.25,1.75,4,1.4,0.8,5,2.0,1.6,5,1.5,1.0,8,1.5,1.0,8,82,2.7439024390243905,3,1
2015_16_20151017_MCI_BOU,2015_16,2015-10-17,,MCI,BOU,2.375,0.875,1.25,1.5,8,8,3.0,0.75,4,1.5,2.25,4,2.2,1.4,5,1.2,1.4,5,2.375,0.875,8,1.25,1.5,8,83,2.746987951807229,6,1
2015_16_20151017_SOU_LEI,2015_16,2015-10-17,,SOU,LEI,1.625,1.25,2.125,1.875,8,8,2.0,1.75,4,1.75,1.25,4,2.2,1.0,5,2.0,2.2,5,1.625,1.25,8,2.125,1.875,8,84,2.7857142857142856,4,1
2015_16_20151017_TOT_LIV,2015_16,2015-10-17,,TOT,LIV,1.375,0.875,1.0,1.25,8,8,1.75,0.75,4,0.75,1.0,4,1.6,0.6,5,1.2,2.0,5,1.375,0.875,8,1.0,1.25,8,85,2.8,0,0
2015_16_20151017_WAT_ARS,2015_16,2015-10-17,,WAT,ARS,0.75,0.875,1.625,0.875,8,8,0.25,0.25,4,2.0,1.25,4,0.8,1.0,5,2.2,0.8,5,0.75,0.875,8,1.625,0.875,8,86,2.7674418604651163,3,1
2015_16_20151017_WBA_SUN,2015_16,2015-10-17,,WBA,SUN,0.75,1.375,1.0,2.25,8,8,1.0,2.25,4,1.0,2.75,4,0.8,1.0,5,0.8,2.0,5,0.75,1.375,8,1.0,2.25,8,87,2.7701149425287355,1,0
2015_16_20151018_NEW_NOR,2015_16,2015-10-18,,NEW,NOR,0.75,2.125,1.5,1.75,8,8,1.25,1.75,4,1.5,1.75,4,0.8,2.6,5,1.4,1.8,5,0.75,2.125,8,1.5,1.75,8,88,2.75,8,1
2015_16_20151019_SWA_STK,2015_16,2015-10-19,,SWA,STK,1.25,1.25,1.0,1.25,8,8,1.5,0.75,4,1.0,1.25,4,1.0,1.4,5,1.0,1.2,5,1.25,1.25,8,1.0,1.25,8,89,2.808988764044944,1,0
