match_id,season,market,selection,opening_price,opening_source_column,opening_source,closing_price,closing_source_column,closing_source,has_opening,has_closing,raw_row,closing_implied_probability,opening_implied_probability,price_change,implied_probability_change,closing_available,opening_available,odds_change,odds_change_pct,probability_change,clv,movement
2019_20_01/09/2019_Everton_Wolves,2019_20,OVER_2.5,OVER_2.5,2.2,B365>2.5,BET365,2.3,B365C>2.5,BET365,True,True,38,0.4347826086956522,0.45454545454545453,0.0999999999999996,-0.0197628458498023,True,True,0.09999999999999964,0.04545454545454519,-0.019762845849802313,0.04545454545454519,DRIFTED
2019_20_01/09/2019_Everton_Wolves,2019_20,OVER_2.5,UNDER_2.5,1.66,B365<2.5,BET365,1.61,B365C<2.5,BET365,True,True,38,0.6211180124223602,0.6024096385542169,-0.0499999999999998,0.0187083738681432,True,True,-0.04999999999999982,-0.030120481927710774,0.01870837386814328,-0.030120481927710774,SHORTENED
2019_20_01/09/2019_Arsenal_Tottenham,2019_20,OVER_2.5,OVER_2.5,1.57,B365>2.5,BET365,1.53,B365C>2.5,BET365,True,True,39,0.6535947712418301,0.6369426751592356,-0.04,0.0166520960825944,True,True,-0.040000000000000036,-0.02547770700636942,0.016652096082594436,-0.02547770700636942,SHORTENED
2019_20_01/09/2019_Arsenal_Tottenham,2019_20,OVER_2.5,UNDER_2.5,2.37,B365<2.5,BET365,2.5,B365C<2.5,BET365,True,True,39,0.4,0.42194092827004215,0.1299999999999999,-0.0219409282700421,True,True,0.1299999999999999,0.05485232067510548,-0.021940928270042126,0.05485232067510548,DRIFTED
2019_20_14/09/2019_Liverpool_Newcastle,2019_20,OVER_2.5,OVER_2.5,1.4,B365>2.5,BET365,1.5,B365C>2.5,BET365,True,True,40,0.6666666666666666,0.7142857142857143,0.1,-0.0476190476190476,True,True,0.10000000000000009,0.0714285714285714,-0.04761904761904767,0.0714285714285714,DRIFTED
2019_20_14/09/2019_Liverpool_Newcastle,2019_20,OVER_2.5,UNDER_2.5,3.0,B365<2.5,BET365,2.62,B365C<2.5,BET365,True,True,40,0.38167938931297707,0.3333333333333333,-0.3799999999999999,0.0483460559796437,True,True,-0.3799999999999999,-0.1266666666666666,0.048346055979643754,-0.1266666666666666,SHORTENED
2019_20_14/09/2019_Brighton_Burnley,2019_20,OVER_2.5,OVER_2.5,2.1,B365>2.5,BET365,2.1,B365C>2.5,BET365,True,True,41,0.47619047619047616,0.47619047619047616,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_14/09/2019_Brighton_Burnley,2019_20,OVER_2.5,UNDER_2.5,1.72,B365<2.5,BET365,1.72,B365C<2.5,BET365,True,True,41,0.5813953488372093,0.5813953488372093,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_14/09/2019_Man United_Leicester,2019_20,OVER_2.5,OVER_2.5,1.9,B365>2.5,BET365,2.0,B365C>2.5,BET365,True,True,42,0.5,0.5263157894736842,0.1,-0.0263157894736841,True,True,0.10000000000000009,0.05263157894736836,-0.02631578947368418,0.05263157894736836,DRIFTED
2019_20_14/09/2019_Man United_Leicester,2019_20,OVER_2.5,UNDER_2.5,1.9,B365<2.5,BET365,1.8,B365C<2.5,BET365,True,True,42,0.5555555555555556,0.5263157894736842,-0.0999999999999998,0.0292397660818714,True,True,-0.09999999999999987,-0.05263157894736836,0.0292397660818714,-0.05263157894736836,SHORTENED
